uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSCSSSING18,BSc,Crime and Security Science,15,26000,28000,34000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAEES18,BA,Czech (with Slovak) and East European Studies,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEADAN18,BA,Czech and Danish,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEADUT18,BA,Czech and Dutch,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAFIN18,BA,Czech and Finnish,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAFRE18,BA,Czech and French,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAGER18,BA,Czech and German,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAHEB18,BA,Czech and Hebrew,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAHUN18,BA,Czech and Hungarian,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAITA18,BA,Czech and Italian,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEANOR18,BA,Czech and Norwegian,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAPOL18,BA,Czech and Polish,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAPOR18,BA,Czech and Portuguese,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBACZEAROM18,BA,Czech and Romanian,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
