uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,F647,MSci,Earth and Planetary Science,40,29250,33875,40125,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,F520,MSci,Earth and Planetary Science with a Year Abroad,40,29250,33875,40125,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/#abroad,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/#abroad,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,C180,BSc,Ecology and Environmental Biology,15,27000,32000,37000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,L1N3,BSc,"Economics, Finance and Data Science",0,NA,NA,NA,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/economics-finance-data-science/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/economics-finance-data-science/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,H600,BEng,Electrical and Electronic Engineering,25,35000,41000,54000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-beng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-beng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,H604,MEng,Electrical and Electronic Engineering,25,35000,41000,54000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,H6N2,MEng,Electrical and Electronic Engineering with Management,25,35000,41000,54000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-management/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-management/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,HG65,BEng,Electronic and Information Engineering,25,35000,41000,54000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-beng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-beng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,GH56,MEng,Electronic and Information Engineering,25,35000,41000,54000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,F600,BSc,Geology,15,28000,32000,37000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/geology-bsc/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/geology-bsc/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
