ukprn,kiscourseid,programme,crseurl
10007774,VRC7,History and Russian,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR14,History and Spanish,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,V350,History of Art,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-art
10007774,BCL0,Human Sciences,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/human-sciences
10007774,H630,Information Engineering (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,RT36,Italian and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R301,Italian and Beginners German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR3S,Italian and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR39,Italian and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR3M,Italian and Beginners' Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRH7,Italian and Beginners' Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR37,Italian and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ34,Italian and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ31,Italian and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RQ37,Italian and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RTH6,Italian and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR35,Italian and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR3R,Italian and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR34,Italian and Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT3P,Italian and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,T201,Japanese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
10007774,QV91,Jewish Studies,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
10007774,M100,Jurisprudence,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/law-jurisprudence
10007774,M190,Law with Law Studies in Europe (European Law),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/law-jurisprudence
10007774,M191,Law with Law Studies in Europe (French Law),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/law-jurisprudence
10007774,M192,Law with Law Studies in Europe (German Law),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/law-jurisprudence
10007774,M193,Law with Law Studies in Europe (Italian Law),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/law-jurisprudence
10007774,M194,Law with Law Studies in Europe (Spanish Law),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/law-jurisprudence
